District,Year,Month,Rainfall_mm,Rainfall_lag_1,Rainfall_lag_2,Rainfall_lag_3,Rainfall_3mo_sum
Gadag,2022,7,154.7,64.99,119.79,43.21,227.99
Gadag,2022,8,153.44,154.7,64.99,119.79,339.48
Gadag,2022,9,207.28,153.44,154.7,64.99,373.13
Gadag,2022,10,100.49,207.28,153.44,154.7,515.4200000000001
Gadag,2022,11,3.79,100.49,207.28,153.44,461.21
Gadag,2022,12,14.0,3.79,100.49,207.28,311.56
Gadag,2023,1,0.01,14.0,3.79,100.49,118.28
Gadag,2023,2,0.0,0.01,14.0,3.79,17.8
Gadag,2023,3,0.63,0.0,0.01,14.0,14.01
Gadag,2023,4,19.2,0.63,0.0,0.01,0.64
Gadag,2023,5,43.52,19.2,0.63,0.0,19.83
Gadag,2023,6,22.6,43.52,19.2,0.63,63.35
Gadag,2023,7,173.7,22.6,43.52,19.2,85.32000000000001
Gadag,2023,8,42.26,173.7,22.6,43.52,239.82
Gadag,2023,9,111.14,42.26,173.7,22.6,238.55999999999997
Gadag,2023,10,6.54,111.14,42.26,173.7,327.1
Gadag,2023,11,46.58,6.54,111.14,42.26,159.94
Gadag,2023,12,1.3,46.58,6.54,111.14,164.26
Gadag,2024,1,6.06,1.3,46.58,6.54,54.419999999999995
Gadag,2024,2,0.0,6.06,1.3,46.58,53.94
Gadag,2024,3,0.92,0.0,6.06,1.3,7.359999999999999
Gadag,2024,4,47.5,0.92,0.0,6.06,6.9799999999999995
Gadag,2024,5,75.38,47.5,0.92,0.0,48.42
Gadag,2024,6,141.51,75.38,47.5,0.92,123.8
Gadag,2024,7,144.34,141.51,75.38,47.5,264.39
Gadag,2024,8,121.86,144.34,141.51,75.38,361.23
Gadag,2024,9,127.24,121.86,144.34,141.51,407.71
Gadag,2024,10,191.39,127.24,121.86,144.34,393.44
Gadag,2024,11,4.02,191.39,127.24,121.86,440.49
Gadag,2024,12,15.11,4.02,191.39,127.24,322.65
Gadag,2025,1,0.0,15.11,4.02,191.39,210.51999999999998
Gadag,2025,2,0.44,0.0,15.11,4.02,19.13
Gadag,2025,3,3.24,0.44,0.0,15.11,15.549999999999999
Gadag,2025,4,58.78,3.24,0.44,0.0,3.68
Gadag,2025,5,270.32,58.78,3.24,0.44,62.46
Gadag,2025,6,0.0,270.32,58.78,3.24,332.34000000000003
Gadag,2025,7,0.0,0.0,270.32,58.78,329.1
Gadag,2025,7,-19.05,0.0,0.0,270.32,270.32
Gadag,2025,8,0.0,-19.05,0.0,0.0,-19.05
Gadag,2025,8,-24.76,0.0,-19.05,0.0,-19.05
Gadag,2025,9,0.0,-24.76,0.0,-19.05,-43.81
Gadag,2025,9,-24.18,0.0,-24.76,0.0,-24.76
Gadag,2025,10,0.0,-24.18,0.0,-24.76,-48.94
Gadag,2025,10,14.49,0.0,-24.18,0.0,-24.18
Gadag,2025,11,0.0,14.49,0.0,-24.18,-9.69
Gadag,2025,11,56.78,0.0,14.49,0.0,14.49
Gadag,2025,12,0.0,56.78,0.0,14.49,71.27
Gadag,2025,12,66.45,0.0,56.78,0.0,56.78
Gadag,2026,1,127.09,66.45,0.0,56.78,123.23
Gadag,2026,2,76.91,127.09,66.45,0.0,193.54000000000002
Gadag,2026,3,107.19,76.91,127.09,66.45,270.45
Gadag,2026,4,95.85,107.19,76.91,127.09,311.19
Gadag,2026,5,-3.96,95.85,107.19,76.91,279.95
Gadag,2026,6,-16.62,-3.96,95.85,107.19,199.07999999999998
Gadag,2026,7,-24.46,-16.62,-3.96,95.85,75.27
Gadag,2026,8,-26.14,-24.46,-16.62,-3.96,-45.04
Gadag,2026,9,-24.42,-26.14,-24.46,-16.62,-67.22
Gadag,2026,10,20.99,-24.42,-26.14,-24.46,-75.02000000000001
Gadag,2026,11,130.48,20.99,-24.42,-26.14,-29.570000000000004
Gadag,2026,12,28.99,130.48,20.99,-24.42,127.05
Gadag,2027,1,65.55,28.99,130.48,20.99,180.46
Gadag,2027,2,35.3,65.55,28.99,130.48,225.01999999999998
Gadag,2027,3,53.56,35.3,65.55,28.99,129.84
Gadag,2027,4,46.72,53.56,35.3,65.55,154.41
Gadag,2027,5,-13.46,46.72,53.56,35.3,135.57999999999998
Gadag,2027,6,-21.1,-13.46,46.72,53.56,86.82
Gadag,2027,7,-33.39,-21.1,-13.46,46.72,12.159999999999997
Gadag,2027,8,-36.67,-33.39,-21.1,-13.46,-67.95
Gadag,2027,9,-35.4,-36.67,-33.39,-21.1,-91.16
Gadag,2027,10,7.33,-35.4,-36.67,-33.39,-105.46
Gadag,2027,11,90.14,7.33,-35.4,-36.67,-64.74000000000001
Gadag,2027,12,32.79,90.14,7.33,-35.4,62.07
Haveri,2018,1,2.47,,,,0.0
Haveri,2018,2,2.43,2.47,,,2.47
Haveri,2018,3,16.92,2.43,2.47,,4.9
Haveri,2018,4,33.93,16.92,2.43,2.47,21.82
Haveri,2018,5,105.45,33.93,16.92,2.43,53.28
Haveri,2018,6,147.37,105.45,33.93,16.92,156.3
Haveri,2018,7,76.6,147.37,105.45,33.93,286.75
Haveri,2018,8,64.4,76.6,147.37,105.45,329.42
Haveri,2018,9,86.34,64.4,76.6,147.37,288.37
Haveri,2018,10,37.7,86.34,64.4,76.6,227.34
Haveri,2018,11,4.41,37.7,86.34,64.4,188.44
Haveri,2018,12,0.64,4.41,37.7,86.34,128.45
Haveri,2019,1,0.23,0.64,4.41,37.7,42.75
Haveri,2019,2,0.36,0.23,0.64,4.41,5.28
Haveri,2019,3,1.78,0.36,0.23,0.64,1.23
Haveri,2019,4,25.78,1.78,0.36,0.23,2.37
Haveri,2019,5,32.43,25.78,1.78,0.36,27.92
Haveri,2019,6,93.14,32.43,25.78,1.78,59.99
Haveri,2019,7,123.64,93.14,32.43,25.78,151.35
Haveri,2019,8,217.51,123.64,93.14,32.43,249.21
Haveri,2019,9,150.47,217.51,123.64,93.14,434.28999999999996
Haveri,2019,10,255.2,150.47,217.51,123.64,491.62
Haveri,2019,11,24.36,255.2,150.47,217.51,623.18
Haveri,2019,12,8.38,24.36,255.2,150.47,430.03
Haveri,2020,1,1.65,8.38,24.36,255.2,287.94
Haveri,2020,2,0.0,1.65,8.38,24.36,34.39
Haveri,2020,3,2.99,0.0,1.65,8.38,10.030000000000001
Haveri,2020,4,80.99,2.99,0.0,1.65,4.640000000000001
Haveri,2020,5,71.65,80.99,2.99,0.0,83.97999999999999
Haveri,2020,6,116.04,71.65,80.99,2.99,155.63
Haveri,2020,7,294.71,116.04,71.65,80.99,268.68
Haveri,2020,8,173.5,294.71,116.04,71.65,482.4
Haveri,2020,9,245.84,173.5,294.71,116.04,584.25
Haveri,2020,10,219.87,245.84,173.5,294.71,714.05
Haveri,2020,11,7.16,219.87,245.84,173.5,639.21
Haveri,2020,12,4.69,7.16,219.87,245.84,472.87
Haveri,2021,1,32.76,4.69,7.16,219.87,231.72
Haveri,2021,2,19.54,32.76,4.69,7.16,44.61
Haveri,2021,3,1.59,19.54,32.76,4.69,56.989999999999995
Haveri,2021,4,33.06,1.59,19.54,32.76,53.89
Haveri,2021,5,184.99,33.06,1.59,19.54,54.190000000000005
Haveri,2021,6,149.03,184.99,33.06,1.59,219.64000000000001
Haveri,2021,7,191.63,149.03,184.99,33.06,367.08
Haveri,2021,8,73.04,191.63,149.03,184.99,525.65
Haveri,2021,9,109.77,73.04,191.63,149.03,413.70000000000005
Haveri,2021,10,145.71,109.77,73.04,191.63,374.44
Haveri,2021,11,126.85,145.71,109.77,73.04,328.52000000000004
Haveri,2021,12,12.03,126.85,145.71,109.77,382.33
Haveri,2022,1,0.13,12.03,126.85,145.71,284.59000000000003
Haveri,2022,2,0.0,0.13,12.03,126.85,139.01
Haveri,2022,3,3.56,0.0,0.13,12.03,12.16
Haveri,2022,4,50.75,3.56,0.0,0.13,3.69
Haveri,2022,5,160.89,50.75,3.56,0.0,54.31
Haveri,2022,6,87.3,160.89,50.75,3.56,215.2
Haveri,2022,7,188.94,87.3,160.89,50.75,298.94
Haveri,2022,8,169.08,188.94,87.3,160.89,437.13
Haveri,2022,9,205.48,169.08,188.94,87.3,445.32
Haveri,2022,10,101.02,205.48,169.08,188.94,563.5
Haveri,2022,11,7.96,101.02,205.48,169.08,475.58000000000004
Haveri,2022,12,18.99,7.96,101.02,205.48,314.46
Haveri,2023,1,0.01,18.99,7.96,101.02,127.97
Haveri,2023,2,0.0,0.01,18.99,7.96,26.96
Haveri,2023,3,0.4,0.0,0.01,18.99,19.0
Haveri,2023,4,12.01,0.4,0.0,0.01,0.41000000000000003
Haveri,2023,5,47.01,12.01,0.4,0.0,12.41
Haveri,2023,6,40.32,47.01,12.01,0.4,59.419999999999995
Haveri,2023,7,212.43,40.32,47.01,12.01,99.34
Haveri,2023,8,44.47,212.43,40.32,47.01,299.76
Haveri,2023,9,131.31,44.47,212.43,40.32,297.21999999999997
Haveri,2023,10,5.75,131.31,44.47,212.43,388.21000000000004
Haveri,2023,11,61.58,5.75,131.31,44.47,181.53
Haveri,2023,12,1.78,61.58,5.75,131.31,198.64
Haveri,2024,1,19.34,1.78,61.58,5.75,69.11
Haveri,2024,2,0.0,19.34,1.78,61.58,82.7
Haveri,2024,3,0.78,0.0,19.34,1.78,21.12
Haveri,2024,4,47.19,0.78,0.0,19.34,20.12
Haveri,2024,5,97.62,47.19,0.78,0.0,47.97
Haveri,2024,6,155.91,97.62,47.19,0.78,145.59
Haveri,2024,7,192.9,155.91,97.62,47.19,300.72
Haveri,2024,8,172.79,192.9,155.91,97.62,446.43
Haveri,2024,9,124.86,172.79,192.9,155.91,521.6
Haveri,2024,10,205.31,124.86,172.79,192.9,490.54999999999995
Haveri,2024,11,6.54,205.31,124.86,172.79,502.96000000000004
Haveri,2024,12,22.14,6.54,205.31,124.86,336.71
Haveri,2025,1,0.05,22.14,6.54,205.31,233.99
Haveri,2025,2,0.39,0.05,22.14,6.54,28.73
Haveri,2025,3,6.42,0.39,0.05,22.14,22.580000000000002
Haveri,2025,4,68.93,6.42,0.39,0.05,6.859999999999999
Haveri,2025,5,278.7,68.93,6.42,0.39,75.74000000000001
Haveri,2025,6,0.0,278.7,68.93,6.42,354.05
Haveri,2025,7,0.0,0.0,278.7,68.93,347.63
Haveri,2025,7,-21.25,0.0,0.0,278.7,278.7
Haveri,2025,8,0.0,-21.25,0.0,0.0,-21.25
Haveri,2025,8,-33.37,0.0,-21.25,0.0,-21.25
Haveri,2025,9,0.0,-33.37,0.0,-21.25,-54.62
Haveri,2025,9,-33.73,0.0,-33.37,0.0,-33.37
Haveri,2025,10,0.0,-33.73,0.0,-33.37,-67.1
Haveri,2025,10,5.74,0.0,-33.73,0.0,-33.73
Haveri,2025,11,0.0,5.74,0.0,-33.73,-27.989999999999995
Haveri,2025,11,79.37,0.0,5.74,0.0,5.74
Haveri,2025,12,0.0,79.37,0.0,5.74,85.11
Haveri,2025,12,65.56,0.0,79.37,0.0,79.37
Haveri,2026,1,143.91,65.56,0.0,79.37,144.93
Haveri,2026,2,84.5,143.91,65.56,0.0,209.47
Haveri,2026,3,95.47,84.5,143.91,65.56,293.97
Haveri,2026,4,88.43,95.47,84.5,143.91,323.88
Haveri,2026,5,-6.88,88.43,95.47,84.5,268.4
Haveri,2026,6,-23.26,-6.88,88.43,95.47,177.02
Haveri,2026,7,-31.85,-23.26,-6.88,88.43,58.290000000000006
Haveri,2026,8,-37.81,-31.85,-23.26,-6.88,-61.99
Haveri,2026,9,-35.79,-37.81,-31.85,-23.26,-92.92
Haveri,2026,10,10.85,-35.79,-37.81,-31.85,-105.44999999999999
Haveri,2026,11,126.4,10.85,-35.79,-37.81,-62.75
Haveri,2026,12,31.05,126.4,10.85,-35.79,101.46000000000001
Haveri,2027,1,85.28,31.05,126.4,10.85,168.3
Haveri,2027,2,44.16,85.28,31.05,126.4,242.73000000000002
Haveri,2027,3,51.75,44.16,85.28,31.05,160.49
Haveri,2027,4,46.88,51.75,44.16,85.28,181.19
Haveri,2027,5,-19.09,46.88,51.75,44.16,142.79
Haveri,2027,6,-30.43,-19.09,46.88,51.75,79.54
Haveri,2027,7,-42.91,-30.43,-19.09,46.88,-2.6399999999999935
Haveri,2027,8,-50.77,-42.91,-30.43,-19.09,-92.43
Haveri,2027,9,-49.48,-50.77,-42.91,-30.43,-124.11000000000001
Haveri,2027,10,-5.05,-49.48,-50.77,-42.91,-143.16
Haveri,2027,11,97.59,-5.05,-49.48,-50.77,-105.3
Haveri,2027,12,27.34,97.59,-5.05,-49.48,43.06000000000001
